StartDate,DistributionChannel,Progress,Duration,Finished,Consent,Age,Gender,Gender_identity,Gender_other_text,Teacher,Subject_prog,Klartdukankoda,Soc_stereotype_tech,Soc_stereotype_care,Pers_stereotype_tech,Pers_stereotype_care,Q1.RP1,Q2.RP2,Q3.RP3,Q4.RP4,Q5.RP5,Q6.RP6,Q7.RP7,Q8.RN1,Q9.RN2,Q10.RN3,Q11.RN4,Q12.RN5,Q13.RN6,Q14.RN7,Q15.LP1,Q16.LP2,Q17.LP3,Q18.LP4,Q19.LP5,Q20.LP6,Q21.LP7,Q22.LN1,Q23.LN2,Q24.LN3,Q25.LN4,Q26.LN5,Q27.LN6,Q28.LN7,FL_6_DO
Start Date,Distribution Channel,Progress,Duration (in seconds),Finished,"Enkät till lärare på mellanstadiet och högstadiet



Information om studien

Forskare vid Lunds universitet utvärderar digitaliseringsreformen i skolor där elever bl.a. får lära sig grunderna i programmering. Studien heter ”Klart du kan koda!” och är granskad av etikprövningsnämnden (dnr 2020-01606). I studien ingår ett test som mäter elevernas reaktionstider när de associerar kring ord som bl.a. är knutna till digital teknik. Vi är även intresserade av att se hur lärare på mellanstadiet och högstadiet, och även andra vuxna, associerar kring dessa ord för att se om dessa skiljer sig åt eller är lika ungdomarnas. Vi undrar om du vill göra testet och fylla i några enkätfrågor. Det tar ca 15 minuter. Du behöver en dator med ett tangentbord. Alla deltagare är anonyma och resultaten kan komma att redovisas på gruppnivå (gruppers medelvärden) i vetenskapliga tidskrifter. Det är frivilligt att delta och du kan avbryta när som helst, utan att ange skäl. Huvudansvarig forskare är Docent Una Tellhed (una.tellhed@psy.lu.se).



Jag har förstått informationen ovan och samtycker att delta i studien","Generella frågor om dig

 
Hur gammal är du? År:",Vilket är ditt tillskrivna kön (som t ex står i ditt pass)?,Hur identifierar du dig själv? - Selected Choice,"Hur identifierar du dig själv? - Annat. Om du vill, så beskriv (frivilligt) - Text",Arbetar du som lärare?,Har du någon undervisning i programmering?,Är dina elever med i forskningsstudien (”klart du kan koda”),"Frågor om svenskars syn på kön



Hur tror du att de flesta svenskar ser på mäns och kvinnors förmågor (vad de är bra på)? Vi frågar här inte vad du tycker utan vad du tror att andra tänker. - Vad tror du att svenskar i allmänhet tänker om mäns och kvinnors tekniska förmåga (hur bra de är på teknik)?","Frågor om svenskars syn på kön



Hur tror du att de flesta svenskar ser på mäns och kvinnors förmågor (vad de är bra på)? Vi frågar här inte vad du tycker utan vad du tror att andra tänker. - Vad tror du att svenskar i allmänhet tänker om mäns och kvinnors förmåga att vårda andra människor?",Hur tänker du själv om mäns och kvinnors förmågor (vad de är bra på)? - Vad tänker du om mäns och kvinnors tekniska förmåga (hur bra de är på teknik)?,Hur tänker du själv om mäns och kvinnors förmågor (vad de är bra på)? - Vad tänker du om mäns och kvinnors förmåga att vårda andra människor?,"Vård



Teknik








+

 


Laddar allt innehåll…



Det här bör ta mindre än 1 minut



Instruktioner: Placera ditt vänstra pekfinger på tangenten E och ditt högra pekfinger på tangenten I. Längst upp på skärmen finns orden du ska sortera till. Orden som behöver sorteras kommer upp på mitten av skärmen. 

När ordet tillhör kategorin till vänster, tryck på E tangenten så snabbt du kan. När ordet tillhör kategorin till höger, tryck på I tangenten så snabbt du kan. Om du gör fel kommer ett rött X att visas. Fixa fel genom att trycka på rätt tangent.



Försök köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt.



När du är redo, tryck [mellanslag] för att börja.



Del 1 av 7


 



x","Tjej




 Kille






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Nu har kategorierna ändrats, men reglerna är samma. Försök köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt. Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 2 av 7




x","Vård
 eller
 Tjej




 Teknik
 eller
 Kille






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Nu kommer de fyra kategorierna du såg var för sig att visas tillsammans. Kom ihåg, varje ord passar bara in i en av de fyra kategorierna. De olika färgerna kan hjälpa dig att hitta rätt kategori.




Använd E tangenten för de två kategorierna till vänster och I tangenten för de två kategorierna till höger. Igen, försök att köra så snabbt som möjligt utan att göra fel. Fixa fel genom att trycka på rätt tangent. Öva på dessa kombinationer nu. 




När du är redo, tryck [mellanslag] för att börja.




Del 3 av 7




x","Vård
 eller
 Tjej




 Teknik
 eller
 Kille






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Fortsätt med uppgiften precis som tidigare. Kom ihåg, försök att köra så snabbt som möjligt utan att göra fel.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 4 av 7




x","Teknik




 Vård






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



OBS! Nu har kategorierna bytt sida. Öva på den nya placeringen nu. Kom ihåg att försöka köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt. Fixa fel genom att trycka på rätt tangent. 




När du är redo, tryck [mellanslag] för att börja.




Del 5 av 7




x","Teknik
 eller
 Tjej




 Vård
 eller
 Kille






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



OBS! Nu har alla fyra kategorier kombinerats igen, men med ny placering. Öva på den nya placeringen nu, och kom ihåg att köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 6 av 7




x","Teknik
 eller
 Tjej




 Vård
 eller
 Kille






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Fortsätt med uppgiften precis som tidigare. Kom ihåg, försök att köra så snabbt som möjligt utan att göra fel.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 7 av 7




x","Vård




 Teknik






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Instruktioner: Placera ditt vänstra pekfinger på tangenten E och ditt högra pekfinger på tangenten I. Längst upp på skärmen finns orden du ska sortera till. Orden som behöver sorteras kommer upp på mitten av skärmen. 

När ordet tillhör kategorin till vänster, tryck på E tangenten så snabbt du kan. När ordet tillhör kategorin till höger, tryck på I tangenten så snabbt du kan. Om du gör fel kommer ett rött X att visas. Fixa fel genom att trycka på rätt tangent.




Försök köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt.




När du är redo, tryck [mellanslag] för att börja.




Del 1 av 7




x","Kille




 Tjej






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Nu har kategorierna ändrats, men reglerna är samma. Försök köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt. Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 2 av 7




x","Vård
 eller
 Kille




 Teknik
 eller
 Tjej






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Nu kommer de fyra kategorierna du såg var för sig att visas tillsammans. Kom ihåg, varje ord passar bara in i en av de fyra kategorierna. De olika färgerna kan hjälpa dig att hitta rätt kategori.




Använd E tangenten för de två kategorierna till vänster och I tangenten för de två kategorierna till höger. Igen, försök att köra så snabbt som möjligt utan att göra fel. Fixa fel genom att trycka på rätt tangent. Öva på dessa kombinationer nu. 




När du är redo, tryck [mellanslag] för att börja.




Del 3 av 7




x","Vård
 eller
 Kille




 Teknik
 eller
 Tjej






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Fortsätt med uppgiften precis som tidigare. Kom ihåg, försök att köra så snabbt som möjligt utan att göra fel.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 4 av 7




x","Teknik




 Vård






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



OBS! Nu har kategorierna bytt sida. Öva på den nya placeringen nu. Kom ihåg att försöka köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt. Fixa fel genom att trycka på rätt tangent. 




När du är redo, tryck [mellanslag] för att börja.




Del 5 av 7




x","Teknik
 eller
 Kille




 Vård
 eller
 Tjej






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



OBS! Nu har alla fyra kategorier kombinerats igen, men med ny placering. Öva på den nya placeringen nu, och kom ihåg att köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 6 av 7




x","Teknik
 eller
 Kille




 Vård
 eller
 Tjej






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Fortsätt med uppgiften precis som tidigare. Kom ihåg, försök att köra så snabbt som möjligt utan att göra fel.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 7 av 7




x","Teknik




 Vård






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Instruktioner: Placera ditt vänstra pekfinger på tangenten E och ditt högra pekfinger på tangenten I. Längst upp på skärmen finns orden du ska sortera till. Orden som behöver sorteras kommer upp på mitten av skärmen. 

När ordet tillhör kategorin till vänster, tryck på E tangenten så snabbt du kan. När ordet tillhör kategorin till höger, tryck på I tangenten så snabbt du kan. Om du gör fel kommer ett rött X att visas. Fixa fel genom att trycka på rätt tangent.




Försök köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt.




När du är redo, tryck [mellanslag] för att börja.




Del 1 av 7




x","Kille




 Tjej






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Nu har kategorierna ändrats, men reglerna är samma. Försök köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt. Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 2 av 7




x","Teknik
 eller
 Kille




 Vård
 eller
 Tjej






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Nu kommer de fyra kategorierna du såg var för sig att visas tillsammans. Kom ihåg, varje ord passar bara in i en av de fyra kategorierna. De olika färgerna kan hjälpa dig att hitta rätt kategori.




Använd E tangenten för de två kategorierna till vänster och I tangenten för de två kategorierna till höger. Igen, försök att köra så snabbt som möjligt utan att göra fel. Fixa fel genom att trycka på rätt tangent. Öva på dessa kombinationer nu. 




När du är redo, tryck [mellanslag] för att börja.




Del 3 av 7




x","Teknik
 eller
 Kille




 Vård
 eller
 Tjej






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Fortsätt med uppgiften precis som tidigare. Kom ihåg, försök att köra så snabbt som möjligt utan att göra fel.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 4 av 7




x","Vård




 Teknik






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



OBS! Nu har kategorierna bytt sida. Öva på den nya placeringen nu. Kom ihåg att försöka köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt. Fixa fel genom att trycka på rätt tangent.  




När du är redo, tryck [mellanslag] för att börja.




Del 5 av 7




x","Vård
 eller
 Kille




 Teknik
 eller
 Tjej






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



OBS! Nu har alla fyra kategorier kombinerats igen, men med ny placering. Öva på den nya placeringen nu, och kom ihåg att köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 6 av 7




x","Vård
 eller
 Kille




 Teknik
 eller
 Tjej






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Fortsätt med uppgiften precis som tidigare. Kom ihåg, försök att köra så snabbt som möjligt utan att göra fel.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 7 av 7




x","Teknik




 Vård






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Instruktioner: Placera ditt vänstra pekfinger på tangenten E och ditt högra pekfinger på tangenten I. Längst upp på skärmen finns orden du ska sortera till. Orden som behöver sorteras kommer upp på mitten av skärmen. 

När ordet tillhör kategorin till vänster, tryck på E tangenten så snabbt du kan. När ordet tillhör kategorin till höger, tryck på I tangenten så snabbt du kan. Om du gör fel kommer ett rött X att visas. Fixa fel genom att trycka på rätt tangent.




Försök köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt.




När du är redo, tryck [mellanslag] för att börja.




Del 1 av 7




x","Tjej




 Kille






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Nu har kategorierna ändrats, men reglerna är samma. Försök köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt. Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 2 av 7




x","Teknik
 eller
 Tjej




 Vård
 eller
 Kille






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Nu kommer de fyra kategorierna du såg var för sig att visas tillsammans. Kom ihåg, varje ord passar bara in i en av de fyra kategorierna. De olika färgerna kan hjälpa dig att hitta rätt kategori.




Använd E tangenten för de två kategorierna till vänster och I tangenten för de två kategorierna till höger. Igen, försök att köra så snabbt som möjligt utan att göra fel. Fixa fel genom att trycka på rätt tangent. Öva på dessa kombinationer nu. 




När du är redo, tryck [mellanslag] för att börja.




Del 3 av 7




x","Teknik
 eller
 Tjej




 Vård
 eller
 Kille






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Fortsätt med uppgiften precis som tidigare. Kom ihåg, försök att köra så snabbt som möjligt utan att göra fel.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 4 av 7




x","Vård




 Teknik






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



OBS! Nu har kategorierna bytt sida. Öva på den nya placeringen nu. Kom ihåg att försöka köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt. Fixa fel genom att trycka på rätt tangent. 




När du är redo, tryck [mellanslag] för att börja.




Del 5 av 7




x","Vård
 eller
 Tjej




 Teknik
 eller
 Kille






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



OBS! Nu har alla fyra kategorier kombinerats igen, men med ny placering. Öva på den nya placeringen nu, och kom ihåg att köra så snabbt du kan samtidigt som du försöker göra så få fel som möjligt.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 6 av 7




x","Vård
 eller
 Tjej




 Teknik
 eller
 Kille






+



Laddar allt innehåll…




Det här bör ta mindre än 1 minut



Fortsätt med uppgiften precis som tidigare. Kom ihåg, försök att köra så snabbt som möjligt utan att göra fel.  Fixa fel genom att trycka på rätt tangent.




När du är redo, tryck [mellanslag] för att börja.




Del 7 av 7




x",FL_6 - Block Randomizer - Display Order
44118.28049,anonymous,26,26,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44217.4274,anonymous,100,512,1,1,28,2,2,-99,2,1,1,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17C1283,22C1143,29C2290,30C1120,24C1189,25C985,28C1075,26C1165,30C1548,27C2493,18C851,18C715,25C1345,29C1098,21C896,26C965,21C780,20C1256,24C805,17C806,END","9C1128,15C784,13C738,5C828,3C626,5C670,15C783,7C715,11C986,2C667,4X2002,12C803,13C628,2C647,12X1098,10X1253,1C785,1C670,10C738,7C693,END","5C1619,21C1322,10C1526,24C2313,11C1526,20X2444,1C1592,29C1120,3C1211,26X2178,4C2133,17C1076,7C1120,18C783,13C1072,28C831,9C761,27C985,15C873,30C896,END","12C882,27C896,12C758,22C760,1C760,28C896,15C648,27C716,5C626,26C827,15C783,30C761,7C603,17C850,13C692,25X1571,2C850,26C738,11C896,18C715,1C1166,21C1503,4C1413,30C1229,3C787,20X1683,2C1166,21X2043,10C783,18C1075,3C1075,24C783,5C738,29X1525,9X1839,17C1233,9C895,24C690,13C1281,29X2043,END","29C2632,17C716,25C873,26C737,27C603,21C804,29X1281,24C580,27C694,22C760,25C739,18C603,26C986,28C557,30C622,20C719,26C738,30X985,21C1255,17X1210,26C1320,30C629,27X1054,21C1502,22C694,20X1435,25C2201,28C828,29C648,18X895,22C693,29C851,18C625,24X873,17C670,24C715,24C603,20X1120,28C828,20C896,END","1X1733,26X3596,7C2087,20X1525,3C2156,18X1591,5C1438,22C2200,10C1232,28C1120,11X1279,27C1547,15C648,17X1188,12C1233,21C895,13X850,25C850,4C1233,30C625,END","10C1309,30X1503,2C1548,20C1098,10C739,17C895,12C827,24C671,7C805,21X1301,4C783,28C760,5C738,18C805,13X1007,22C1098,1C738,22C1120,4C624,27C1390,7C715,29C693,3C671,27C648,5C668,25C718,13X1188,18C782,15C806,25C784,9C873,21C1031,3C827,26C1367,12C716,26C1098,9C670,28C536,11C693,20C829,END",NA,NA,NA,NA,NA,NA,NA,IAT3-CompatibleFirst[TargetAonLeftwithPos]
44218.25037,anonymous,100,467,1,1,45,1,1,-99,2,1,3,1,5,3,3,"30C2190,22C1107,25C1024,22C937,26C1328,27C1226,25C869,29C1092,28C782,21C795,26C847,29C993,24C6257,17C3240,18C803,17C635,24C793,20C836,27C754,21C783,END","7C2716,2C870,9C580,10C715,4C794,1C772,3C725,11C671,3C690,12C621,5C653,11C710,10C682,15C761,7C808,13C1449,15C710,5C786,9C744,1C702,END","1C1340,26C905,4C763,29C1121,12C803,17C735,3C918,20C1543,7C787,27C830,11C714,24C764,2C791,18C782,9C654,30C976,13C1612,25C1057,15C860,22C743,END","13C1144,22C719,10C733,24C1134,4C737,22C858,15C803,18C891,5C1296,21C875,12C650,29C804,10C819,25C1002,11C713,28C754,7C675,26C846,5C712,20C824,4C701,29C1029,7C665,24C787,9C670,27C1354,11C793,28C974,3C651,17C793,2C724,26C783,2C854,17C826,1C808,30C649,9C822,30C1190,13C673,21C742,END","17C1754,22C803,29C983,24C703,29C894,26C858,28C740,26C742,27C780,28C723,17C709,24C754,26C980,18C691,28C972,17C705,21C661,27C777,22C669,20C879,25C937,30C981,25C924,27C632,29C1762,29C851,25C891,20C904,21C1392,20C907,20C701,30C753,28C795,18C832,22C909,30C715,24C746,17C681,21C764,18C890,END","15C1244,17C860,4C1027,28C2002,2C885,21X1451,7C2022,27X1292,12C1227,26C1866,13C931,24X1790,1C2483,30C1889,10C898,20C1616,9X2790,22C1634,5C934,29C874,END","3C1566,28C851,13C747,29C874,10C836,22C733,1C842,18C988,2C1098,28X1303,15C1403,24X1745,9C943,18C861,12C702,26C1026,12C1054,17C1538,5C1058,20X1432,3C1507,17C794,9C673,25C1073,7C794,21C826,1C702,27X1437,7C765,26C939,4C644,30X1459,10C1347,27C741,11C713,24C795,13C786,29C1196,2C2616,21C1226,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT1-CompatibleFirst[TargetAonRightwithPos]
44218.26314,anonymous,100,430,1,1,44,2,2,-99,2,2,3,1,5,3,4,"27C5137,29C1891,24C1122,29C962,21C1776,30C959,20C2251,22C1233,17C998,18C963,26C1108,28C891,18C1540,20X3222,24C1170,30C860,22C1038,25C891,28C859,26C721,END","3C1588,2C812,10C791,5C757,7C801,13C731,7C734,12C898,11C893,10C640,13C573,4C803,1C681,2C656,11C691,15C630,9C596,3X1378,9C1592,5C879,END","13C1718,21C1498,1C995,26C861,7C896,17C839,12C808,28C1307,2C1853,20X2627,10C1423,22C1343,15C1011,30C1758,4C856,27C878,3C728,24C955,9C722,29C1091,END","11C1718,30C763,4C709,21C801,1C665,22C743,10C672,18C649,5C1022,24C911,13C659,17C692,9C1195,28C1504,15C920,17C788,2C700,21X1643,7C683,27C781,12C704,26C763,1C639,26C740,5C616,18C641,4C577,30C720,12C936,29X1998,9C722,29C752,11C661,20C921,3X1444,25C1159,10C723,25X1946,7C733,20C1449,END","25X1736,18C1023,26C861,30C1360,25C1163,18C785,26C688,20C853,17C1238,24C1437,29C809,27C621,20X1491,29C1063,21C1120,22C860,24C612,21C628,27C611,22C653,18C594,27C751,22C605,28C778,17C680,30C660,20C574,28C479,28C581,17C679,25C810,30C954,27C441,30C476,29C570,20X1174,24C1003,26C619,24C803,21C932,END","15C2126,22C1592,10C1056,20X1920,9C1143,18X2711,7C1073,30C852,3C608,29C857,2C613,27C610,12X1060,17C869,4X1271,26X1478,13C1539,25X1644,1C995,21C2328,END","1C1456,27X1196,2C701,25C802,10X917,26C938,10C759,29X1245,13C844,21X1236,9C1025,17X1519,9C1782,30C1044,12C819,27C862,11C709,18C940,5X961,17C1162,13C1219,18C911,3C832,29X1923,15C781,21C1601,5C639,24C985,1C1047,30C1142,7C719,22C817,4C969,24X1076,3C691,28X1398,12C1037,20X3791,4C1211,28C1081,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT1-CompatibleFirst[TargetAonRightwithPos]
44218.47861,anonymous,100,627,1,1,-99,1,1,-99,3,1,3,3,3,3,3,"26C5647,30C4739,29X5027,21C2306,18C1902,28C3101,24C1756,28C1162,30C1412,27C2513,22C1204,17C1117,24C1124,20C2349,18C978,25C1977,25C1068,22C1077,27C1858,21C1373,END","15C1303,10C989,10C788,9C877,2C835,3C916,4X2581,5C1051,1C1580,3X3027,12C2038,1C1116,11C1113,11C806,7C924,5X1765,2C997,15C1389,12C914,13C1006,END","2C935,18C860,15C989,17C924,11C1485,20C1012,9C926,29C1987,10C849,21C876,12C893,27C1517,1C1076,26C1621,5C1125,22C955,7C845,28C1438,3C1349,30C1004,END","13C1296,25C1093,15C883,18C750,3X2276,22C1001,10C867,17C1085,11C1539,30C954,15C978,20C845,1C1014,17C809,5C918,27C941,4X1861,27C2379,3C2692,26C1739,10C836,22C989,2C852,28C1102,5C1196,29C1133,12C1068,28C1034,7C876,24C909,9C1057,29C1181,7C793,20C961,11C1157,21C971,12C851,30C1028,1C1156,18C849,END","20X2223,30X3338,30C1348,25C1452,20C1763,27C918,26C1938,17C787,29C1100,25C1413,27C1124,17C804,30C1122,26C1149,24C949,17C891,22C867,30C893,22C1165,28C1139,27C803,21C816,21C848,18C1038,29C917,21C893,24C862,26C853,24C924,18C931,25C1001,29C1116,25C941,17C699,28C1323,28C1131,20C836,22C1093,18C812,24C828,END","9C847,29C1902,12C1072,17C1105,7C1060,28X1649,2C1222,30C860,4X1972,25C2140,15C1349,18C1946,13C1468,24C982,5C969,26C973,3C1269,22C1802,11C1605,20C1246,END","12C951,28C1717,2C981,30C884,3C2239,28C984,11X1781,25C1212,10C1124,29C1443,9C1110,24C990,4C1785,18C876,11C1181,17C835,10C882,21C1010,2X1421,29C355,9C1222,20C1724,7C1372,25C1538,5C1409,26C2268,13C933,17C801,5C1211,18C1699,1C1525,26C1281,3C1668,24C941,15C1085,27C920,12C939,22C1924,7C1324,21C1067,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT1-CompatibleFirst[TargetAonRightwithPos]
44221.10556,anonymous,100,530,1,1,-99,2,2,-99,1,1,3,1,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27C3075,25C1275,22C873,29C1126,24C803,18X1924,26C954,26C734,20C1145,21C1065,28C1136,27C851,20C1096,29C867,28C803,17C895,21C1006,30C823,18C968,22C991,END","12X7027,2C1787,4C1110,1C877,3C1014,11C904,2C955,7C1059,9C1036,15C903,5C867,3C1166,11C899,10C1005,1C834,12C1012,5C836,9C926,13C978,10C854,END","4C2032,30C1345,13C1340,28C1286,1C1120,26C1436,9C1691,18C1080,15X2818,24C1910,2C1028,29C1217,12C1106,22C1002,5C875,17C1069,7C961,21C2311,10C763,27C962,END","3C3309,20C1286,3C948,21C1308,12C1155,25C1142,1C875,17C1904,7C958,28C1278,12C1040,22C989,1C822,27C2602,4C996,28C1438,5C769,24C1038,2C916,27C903,5C960,18C947,10C753,29C1529,9C1079,25C1166,11C1185,22C1000,13C1461,21C1756,13C1046,17C893,7C938,26C1272,15C1192,30C1046,15C1058,26C1458,10C962,24C970,END","18C2583,30C1206,28C1439,25C1161,21C943,28C1136,20C2047,30C1024,25C1748,22C1658,22C1159,21C994,18C723,20X1877,22C882,24C1046,17C886,29C943,29C630,20C1011,26C1006,26C762,17C911,27C1558,17C1673,20C1706,27C1016,30C1610,24C884,26C1271,28C1476,25C967,30C999,18C853,29C1380,27C2095,24C846,26C1001,21C999,22C1010,END","1C1198,28C1569,4C991,24C1678,7C1239,29C1200,12C723,25C1600,11C756,20C1009,10C1137,18C922,3C864,17C915,13C962,21C1819,9C1367,26C952,5C1285,27X1836,END","10C1188,28C934,5C915,29X1952,13C4015,22C924,9C957,24C2949,3C815,28C1830,11C774,30C897,10C751,20C865,9C911,27C911,4C959,17C1427,15C1349,25C1016,2C972,26C1089,7C1780,29C2005,1C929,24C924,3C976,20X3241,12C998,21C1473,11C860,21C1574,15C813,26C1197,4C1857,18C732,7C793,17C752,2C823,30C925,END",IAT4-IncompatibleFirst[TargetAonLeftwithNeg]
44221.20731,anonymous,100,454,1,1,-99,1,1,-99,3,1,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17C1038,21C941,22C1225,28C922,25C916,27C771,18C790,17C739,20C770,20C668,27C1555,26C1452,29C1769,30C1173,24C953,22C898,28C1004,29C1296,26C1172,18C1107,END","5C1616,13C906,11C837,5C965,13C701,4C861,10C889,1C749,12C902,11C905,12C938,4C731,2C996,1C789,7C853,9C644,9C621,3C746,3C529,15C602,END","2C1207,29C1821,3C1796,27C1645,12C1068,21C1170,5C901,20C1885,7C1129,18C1180,15C1205,28C1357,1C1002,26C1322,9C1136,22C1475,10C1163,17C907,13C1321,25C1331,END","3C1070,22C870,10C1041,24C981,15C738,24C780,2C1460,22C982,5C946,25C835,2C899,29C1613,12C1473,27C1131,11C755,18C1140,1C1116,25C2602,4C721,28C1172,11C1059,29C1021,15C867,21C1212,13C1453,27C1098,3C1003,18C877,9X2125,26C2196,7C995,20C1477,5C990,21C891,7C940,30C1203,10C1484,17C1196,9C730,26C884,END","28C1263,22C741,29C1049,30C941,17C801,30C721,25C1004,20C834,21C860,29C1867,28C1597,25C745,21C811,29C925,27C1882,24C1371,27C1400,17C1500,26C1499,21C829,24C948,21C797,22C730,20C1389,27C748,29C876,30C837,25C947,28C689,26C1086,24C1076,17C1165,20C1029,26C1651,27C1046,18C721,22C716,18C739,22C788,18C668,END","15C1079,28C1572,5C885,17C963,7C1315,21C1717,9C737,29C1052,11C708,25C2590,13C778,30C1045,3C1700,18C541,12C754,26C1460,2C931,22C964,4C777,24C1316,END","10C871,28C861,7C731,30C842,15C893,22C613,2C604,24C827,13C916,18C1179,12C632,25C761,5C1021,26C738,5C836,20C723,4C860,28C949,3C861,17C771,12C1101,21C877,11C1202,29C1324,1C1178,30C973,1C998,27C971,15C685,24C1691,13C761,21C764,3C781,18C2156,4C963,22C1025,10C1116,26C1315,9X1817,25C1595,END",IAT4-IncompatibleFirst[TargetAonLeftwithNeg]
44221.40878,anonymous,100,61,1,1,29,2,2,-99,2,1,3,1,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44221.44775,anonymous,100,303,1,1,40,2,-99,-99,3,1,3,3,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
